user_id,media_id,rating,title
1,27205,8.3,Inception
1,157336,8.1,Interstellar
1,155,8.5,The Dark Knight
1,299536,8.3,Avengers: Infinity War
1,550,7.9,Fight Club
1,680,7.6,Pulp Fiction
1,13,8.9,Forrest Gump
1,278,9.4,The Shawshank Redemption
1,299534,7.7,Avengers: Endgame
1,120,8.1,The Lord of the Rings: The Fellowship of the Ring
2,27205,8.9,Inception
2,157336,8.1,Interstellar
2,155,8.3,The Dark Knight
2,299536,8.6,Avengers: Infinity War
2,550,8.3,Fight Club
2,680,8.2,Pulp Fiction
2,13,8.1,Forrest Gump
2,278,8.6,The Shawshank Redemption
2,299534,8.4,Avengers: Endgame
2,120,9,The Lord of the Rings: The Fellowship of the Ring
3,27205,8.9,Inception
3,157336,8.2,Interstellar
3,155,8.1,The Dark Knight
3,299536,8.6,Avengers: Infinity War
3,550,9.3,Fight Club
3,680,7.9,Pulp Fiction
3,13,7.9,Forrest Gump
3,278,9.5,The Shawshank Redemption
3,299534,8,Avengers: Endgame
3,120,8,The Lord of the Rings: The Fellowship of the Ring
4,27205,8.4,Inception
4,157336,8.3,Interstellar
4,155,7.9,The Dark Knight
4,299536,8.7,Avengers: Infinity War
4,550,9.4,Fight Club
4,680,8,Pulp Fiction
4,13,9,Forrest Gump
4,278,8.7,The Shawshank Redemption
4,299534,9.2,Avengers: Endgame
4,120,8.9,The Lord of the Rings: The Fellowship of the Ring
5,27205,8.1,Inception
5,157336,8.6,Interstellar
5,155,9.5,The Dark Knight
5,299536,8.6,Avengers: Infinity War
5,550,8.2,Fight Club
5,680,9.3,Pulp Fiction
5,13,8.9,Forrest Gump
5,278,8.3,The Shawshank Redemption
5,299534,7.8,Avengers: Endgame
5,120,7.8,The Lord of the Rings: The Fellowship of the Ring
6,27205,8.8,Inception
6,157336,8.3,Interstellar
6,155,8.7,The Dark Knight
6,299536,8.1,Avengers: Infinity War
6,550,8.2,Fight Club
6,680,8.2,Pulp Fiction
6,13,8.7,Forrest Gump
6,278,8.9,The Shawshank Redemption
6,299534,8.1,Avengers: Endgame
6,120,8.1,The Lord of the Rings: The Fellowship of the Ring
7,27205,8.1,Inception
7,157336,7.4,Interstellar
7,155,9.1,The Dark Knight
7,299536,7.7,Avengers: Infinity War
7,550,7.5,Fight Club
7,680,8.7,Pulp Fiction
7,13,8.7,Forrest Gump
7,278,9,The Shawshank Redemption
7,299534,8.5,Avengers: Endgame
7,120,8.7,The Lord of the Rings: The Fellowship of the Ring
8,27205,7.6,Inception
8,157336,7.4,Interstellar
8,155,8.9,The Dark Knight
8,299536,7.9,Avengers: Infinity War
8,550,9.3,Fight Club
8,680,8.8,Pulp Fiction
8,13,8.1,Forrest Gump
8,278,9.1,The Shawshank Redemption
8,299534,8.1,Avengers: Endgame
8,120,9.2,The Lord of the Rings: The Fellowship of the Ring
9,27205,8.6,Inception
9,157336,7.5,Interstellar
9,155,7.8,The Dark Knight
9,299536,8.4,Avengers: Infinity War
9,550,8.8,Fight Club
9,680,8.3,Pulp Fiction
9,13,8.3,Forrest Gump
9,278,8.5,The Shawshank Redemption
9,299534,7.5,Avengers: Endgame
9,120,9.2,The Lord of the Rings: The Fellowship of the Ring
10,27205,8,Inception
10,157336,9.2,Interstellar
10,155,8.3,The Dark Knight
10,299536,8.4,Avengers: Infinity War
10,550,7.9,Fight Club
10,680,8,Pulp Fiction
10,13,8.1,Forrest Gump
10,278,8.7,The Shawshank Redemption
10,299534,8.8,Avengers: Endgame
10,120,7.4,The Lord of the Rings: The Fellowship of the Ring
11,255709,7.8,Hope
11,550,7.7,Fight Club
11,1891,7.9,The Empire Strikes Back
11,447362,8.8,Life in a Year
11,299536,8.7,Avengers: Infinity War
11,424,9,Schindler's List
11,335,9,Once Upon a Time in the West
11,914,8.3,The Great Dictator
11,28,8.6,Apocalypse Now
11,378064,9.3,A Silent Voice: The Movie
11,19404,7.8,Dilwale Dulhania Le Jayenge
11,4935,9.1,Howl's Moving Castle
11,497,7.8,The Green Mile
11,274,8.2,The Silence of the Lambs
11,12493,7.4,High and Low
11,1585,8.7,It's a Wonderful Life
11,8587,7.8,The Lion King
11,527641,7.6,Five Feet Apart
11,128,8.2,Princess Mononoke
11,18491,8.3,Neon Genesis Evangelion: The End of Evangelion
12,110420,8.2,Wolf Children
12,25237,9.1,Come and See
12,13,8.2,Forrest Gump
12,122,8,The Lord of the Rings: The Return of the King
12,299534,8.5,Avengers: Endgame
12,19404,8.9,Dilwale Dulhania Le Jayenge
12,3782,8.2,Ikiru
12,508965,8.7,Klaus
12,1184918,7.8,The Wild Robot
12,105,7.9,Back to the Future
12,527641,7.9,Five Feet Apart
12,975,9,Paths of Glory
13,4935,9.1,Howl's Moving Castle
13,1891,7.8,The Empire Strikes Back
13,25237,8.2,Come and See
13,599,9.2,Sunset Boulevard
13,18491,8.4,Neon Genesis Evangelion: The End of Evangelion
13,424,7.6,Schindler's List
13,299534,7.4,Avengers: Endgame
13,447362,7.5,Life in a Year
13,490132,7.6,Green Book
13,510,9.4,One Flew Over the Cuckoo's Nest
13,429,8.8,"The Good, the Bad and the Ugly"
13,637,8.2,Life Is Beautiful
13,157336,9.2,Interstellar
13,497,9.4,The Green Mile
